"","practicecode","postcode","healthboard","ageband","malecount","femalecount","indeterminatecount","count","year","month","lsoa"
"85","W00005","CF83 4AZ","Aneurin Bevan",84,7,18,0,25,2020,"April","W01001331"
"86","W00005","CF83 4AZ","Aneurin Bevan",85,12,18,0,30,2020,"April","W01001331"
"87","W00005","CF83 4AZ","Aneurin Bevan",86,9,18,0,27,2020,"April","W01001331"
"88","W00005","CF83 4AZ","Aneurin Bevan",87,5,14,0,19,2020,"April","W01001331"
"89","W00005","CF83 4AZ","Aneurin Bevan",88,10,11,0,21,2020,"April","W01001331"
"90","W00005","CF83 4AZ","Aneurin Bevan",89,12,10,0,22,2020,"April","W01001331"
"91","W00005","CF83 4AZ","Aneurin Bevan",90,7,8,0,15,2020,"April","W01001331"
"92","W00005","CF83 4AZ","Aneurin Bevan",91,2,9,0,11,2020,"April","W01001331"
"93","W00005","CF83 4AZ","Aneurin Bevan",92,4,3,0,7,2020,"April","W01001331"
"94","W00005","CF83 4AZ","Aneurin Bevan",93,1,2,0,3,2020,"April","W01001331"
"95","W00005","CF83 4AZ","Aneurin Bevan",94,2,3,0,5,2020,"April","W01001331"
"96","W00165","CF83 1LX","Aneurin Bevan",1,0,0,0,0,2020,"April","W01001426"
"97","W00165","CF83 1LX","Aneurin Bevan",2,0,0,0,0,2020,"April","W01001426"
"98","W00165","CF83 1LX","Aneurin Bevan",3,0,0,0,0,2020,"April","W01001426"
"99","W00165","CF83 1LX","Aneurin Bevan",4,0,0,0,0,2020,"April","W01001426"
"100","W00165","CF83 1LX","Aneurin Bevan",5,0,0,0,0,2020,"April","W01001426"
"101","W00165","CF83 1LX","Aneurin Bevan",6,0,0,0,0,2020,"April","W01001426"
"102","W00165","CF83 1LX","Aneurin Bevan",7,0,0,0,0,2020,"April","W01001426"
"103","W00165","CF83 1LX","Aneurin Bevan",8,0,0,0,0,2020,"April","W01001426"
"104","W00165","CF83 1LX","Aneurin Bevan",9,0,0,0,0,2020,"April","W01001426"
"105","W00165","CF83 1LX","Aneurin Bevan",10,0,0,0,0,2020,"April","W01001426"
"106","W00165","CF83 1LX","Aneurin Bevan",11,0,0,0,0,2020,"April","W01001426"
"107","W00165","CF83 1LX","Aneurin Bevan",12,0,0,0,0,2020,"April","W01001426"
"108","W00165","CF83 1LX","Aneurin Bevan",13,0,0,0,0,2020,"April","W01001426"
"109","W00165","CF83 1LX","Aneurin Bevan",14,0,0,0,0,2020,"April","W01001426"
"110","W00165","CF83 1LX","Aneurin Bevan",15,0,0,0,0,2020,"April","W01001426"
"111","W00165","CF83 1LX","Aneurin Bevan",16,0,0,0,0,2020,"April","W01001426"
"112","W00165","CF83 1LX","Aneurin Bevan",17,0,0,0,0,2020,"April","W01001426"
"113","W00165","CF83 1LX","Aneurin Bevan",18,0,0,0,0,2020,"April","W01001426"
"114","W00165","CF83 1LX","Aneurin Bevan",19,0,1,0,1,2020,"April","W01001426"
